Metric,Value
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,396.56
design__instance__count__class:fill_cell,4822
design__instance__area__class:fill_cell,40687.9
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,33
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,33
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,33
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,33
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19733
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19974
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00267291
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00322074
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000238779
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00322074
design_powergrid__voltage__worst,0.00322074
design_powergrid__voltage__worst__net:VPWR,1.19733
design_powergrid__drop__worst,0.00322074
design_powergrid__drop__worst__net:VPWR,0.00267291
design_powergrid__voltage__worst__net:VGND,0.00322074
design_powergrid__drop__worst__net:VGND,0.00322074
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000264000000000000020240753517697385177598334848880767822265625
ir__drop__worst,0.0026700000000000000642541575501809347770176827907562255859375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
